id,nama,ring_kategori,ring_level,kabupaten,karesidenan,zona_ekologi,latitude,longitude,wkt_geom,url_sumber_1,url_sumber_2,youtube_url
"SLJT-001-BLR","Kentrung Blora","Ring 1 - Terverifikasi",1,"Kabupaten Blora","Karesidenan Pati (Muria Raya)","Karst Kendeng & Hutan Jati Rimba",-6.9944,111.3789,"POINT(111.3789 -6.9944)","https://youtu.be/5XteEv2MU_g","https://dapobud.kemenbud.go.id/wbtb","https://youtu.be/5XteEv2MU_g"
"SLJT-002-BMS","Maca Babad Pasir Luhur","Ring 1 - Terverifikasi",1,"Kabupaten Banyumas","Karesidenan Banyumas","Lembah DAS Serayu & Lereng Gunung Slamet",-7.3889,109.1867,"POINT(109.1867 -7.3889)","https://youtu.be/Ixm0NVVzniM","https://dapobud.kemenbud.go.id/wbtb","https://youtu.be/Ixm0NVVzniM"
"SLJT-003-WSB","Wayang Othok Obrol","Ring 1 - Terverifikasi",1,"Kabupaten Wonosobo","Karesidenan Kedu","Dataran Tinggi Serayu Hulu & Pegunungan Dieng",-7.4206,109.8433,"POINT(109.8433 -7.4206)","https://youtube.com/live/Q_JAmcKSFB0","https://dapobud.kemenbud.go.id/wbtb","https://youtube.com/live/Q_JAmcKSFB0"
"SLJT-R2-001","Bedhaya Ela-Ela (Tari)","Ring 2 - Terverifikasi Teks",2,"Jawa Tengah (Pusat Surakarta)","Karesidenan Surakarta","Pusat Keraton & Tari Sakral",-7.173863,110.165805,"POINT(110.165805 -7.173863)","https://jurnal.ugm.ac.id/kawistara/article/view/26417","",""
"SLJT-R2-002","Bedhaya Ketawang","Ring 2 - Terverifikasi Teks",2,"Jawa Tengah (Pusat Surakarta)","Karesidenan Surakarta","Pusat Keraton & Tari Sakral",-7.10514,110.136423,"POINT(110.136423 -7.10514)","https://digilib.isi.ac.id/2778/","https://ejournal3.undip.ac.id/index.php/sulukindo/article/download/1430/1434",""
"SLJT-R2-003","Begalan Banyumas","Ring 2 - Terverifikasi Teks",2,"Kabupaten Banyumas","Karesidenan Banyumas","Lembah DAS Serayu & Agraris",-7.466825,109.235693,"POINT(109.235693 -7.466825)","https://journal.unnes.ac.id/nju/index.php/sutasoma/article/view/17855","https://ejournal.mandalanursa.org/index.php/JISIP/article/download/2076/1739",""
"SLJT-R2-004","Braen","Ring 2 - Terverifikasi Teks",2,"Kabupaten Purbalingga","Karesidenan Banyumas","Lembah DAS Klawing & Kaki Slamet",-7.340857,109.379858,"POINT(109.379858 -7.340857)","https://mabasan.kemendikdasmen.go.id/index.php/MABASAN/article/view/795","",""
"SLJT-R2-005","Bundengan","Ring 2 - Terverifikasi Teks",2,"Kabupaten Wonosobo","Karesidenan Kedu","Dataran Tinggi Vulkanik Wonosobo",-7.345962,109.885386,"POINT(109.885386 -7.345962)","https://journal.unnes.ac.id/nju/index.php/jsm/article/view/73207","https://ejournal3.undip.ac.id/index.php/anuva/article/view/24183",""
"SLJT-R2-006","Calung Banyumas dan Jawa Barat","Ring 2 - Terverifikasi Teks",2,"Kabupaten Banyumas","Karesidenan Banyumas","Lembah DAS Serayu & Lereng Slamet",-7.498556,109.256406,"POINT(109.256406 -7.498556)","https://journal.isi.ac.id/index.php/resital/article/view/15664/0","",""
"SLJT-R2-007","Cowongan Cilacap","Ring 2 - Terverifikasi Teks",2,"Kabupaten Cilacap","Karesidenan Banyumas","Pesisir Kidul & Karst Selatan",-7.531748,109.002089,"POINT(109.002089 -7.531748)","https://jurnal.isi-ska.ac.id/index.php/gendang/article/view/3194","https://journal.unnes.ac.id/nju/index.php/jsi/article/view/30045",""
"SLJT-R2-008","Dolalak","Ring 2 - Terverifikasi Teks",2,"Kabupaten Purworejo","Karesidenan Kedu","Lembah DAS Bogowonto & Bagelen",-7.723375,109.991229,"POINT(109.991229 -7.723375)","https://doi.org/10.31291/hn.v2i2.109","https://journal.walisongo.ac.id/index.php/attaqaddum/article/view/1786",""
"SLJT-R2-009","Ebeg Banyumas","Ring 2 - Terverifikasi Teks",2,"Kabupaten Banyumas","Karesidenan Banyumas","Lembah DAS Serayu & Lereng Slamet",-7.468631,109.277512,"POINT(109.277512 -7.468631)","https://journal.isi.ac.id/index.php/resital/article/view/15664/0","",""
"SLJT-R2-010","Gambang Semarang","Ring 2 - Terverifikasi Teks",2,"Kabupaten Semarang & Kota Semarang","Karesidenan Semarang","Pesisir Pantura & Akulturasi Urban",-7.17408,110.406126,"POINT(110.406126 -7.17408)","https://ejournal3.undip.ac.id/index.php/jiip/article/view/28169","https://journal.unika.ac.id/index.php/celt/article/view/1300",""
"SLJT-R2-011","Gatotkaca Gandrung","Ring 2 - Terverifikasi Teks",2,"Jawa Tengah (Pusat Surakarta)","Karesidenan Surakarta","Pusat Keraton & Wayang Kulit",-7.164274,110.135353,"POINT(110.135353 -7.164274)","https://journal.unnes.ac.id/sju/index.php/jst/issue/view/1647","https://jurnal.isbi.ac.id/index.php/makalangan/article/view/2710",""
"SLJT-R2-012","Geguritan Surakarta","Ring 2 - Terverifikasi Teks",2,"Kota Surakarta","Karesidenan Surakarta","Pusat Kebudayaan Mataram Surakarta",-7.55765,110.846928,"POINT(110.846928 -7.55765)","https://jurnal.uns.ac.id/javanologi/article/view/97152","https://jurnal.uns.ac.id/sab/article/view/63240",""
"SLJT-R2-013","Grebeg Besar Demak","Ring 2 - Terverifikasi Teks",2,"Kabupaten Demak","Karesidenan Semarang","Pesisir Pantura Kasultanan Demak",-6.887193,110.610633,"POINT(110.610633 -6.887193)","https://garuda.kemdiktisaintek.go.id/documents/detail/488893","https://journal.unnes.ac.id/sju/index.php/catharsis/article/view/29294",""
"SLJT-R2-014","Jamjaneng","Ring 2 - Terverifikasi Teks",2,"Jawa Tengah (Kebumen & Cilacap)","Karesidenan Kedu","Lembah DAS Luk Ulo & Pesisir Kidul",-7.187032,110.165766,"POINT(110.165766 -7.187032)","https://journal.unnes.ac.id/nju/index.php/jsm/article/view/15476","",""
"SLJT-R2-015","Langendriyan","Ring 2 - Terverifikasi Teks",2,"Jawa Tengah (Pusat Surakarta)","Karesidenan Surakarta","Pusat Keraton & Puro Mangkunegaran",-7.135141,110.142071,"POINT(110.142071 -7.135141)","https://eprints.uny.ac.id/20485/","https://digilib.isi.ac.id/5386/1/Karya%20Cipta%20Seni%20Pertunjukan_PROOF.pdf",""
"SLJT-R2-016","Lengger Banyumas","Ring 2 - Terverifikasi Teks",2,"Kabupaten Banyumas","Karesidenan Banyumas","Lembah DAS Serayu & Lereng Slamet",-7.470948,109.225583,"POINT(109.225583 -7.470948)","https://doi.org/10.31947/etnosia.v9i1.34560","https://proceedings.uinsaizu.ac.id/index.php/nuraicon/article/view/1143",""
"SLJT-R2-017","Macapat Semarangan","Ring 2 - Terverifikasi Teks",2,"Kota Semarang","Karesidenan Semarang","Pesisir Pantura & Dialek Semarangan",-6.996744,110.455219,"POINT(110.455219 -6.996744)","https://doi.org/10.15294/harmonia.v20i1.25050","https://journal.unnes.ac.id/nju/index.php/harmonia/article/view/25050",""
"SLJT-R2-018","Santiswara Larasmadya","Ring 2 - Terverifikasi Teks",2,"Jawa Tengah (Pusat Surakarta)","Karesidenan Surakarta","Pusat Keraton & Pesantren Tradisi",-7.117988,110.108126,"POINT(110.108126 -7.117988)","https://garuda.kemdiktisaintek.go.id/documents/detail/6241575","https://garuda.kemdiktisaintek.go.id/documents/detail/1676375",""
"SLJT-R2-019","Sintren Kabupaten Pekalongan","Ring 2 - Terverifikasi Teks",2,"Kabupaten Pekalongan","Karesidenan Pekalongan","Pesisir Pantura & Kaki Pegunungan",-7.069989,109.62557,"POINT(109.62557 -7.069989)","https://doi.org/10.14710/nusa.14.1.104-114","https://ejournal.undip.ac.id/index.php/nusa/article/view/23827",""
"SLJT-R2-020","Tari Gambiranom Surakarta","Ring 2 - Terverifikasi Teks",2,"Kota Surakarta","Karesidenan Surakarta","Pusat Kebudayaan Mataram Surakarta",-7.550942,110.841323,"POINT(110.841323 -7.550942)","https://doi.org/10.31091/mudra.v34i1.646","",""
"SLJT-R2-021","Tari Soreng","Ring 2 - Terverifikasi Teks",2,"Jawa Tengah (Kab. Magelang)","Karesidenan Kedu","Lereng Merapi-Merbabu",-7.154372,110.105002,"POINT(110.105002 -7.154372)","https://doi.org/10.33153/grt.v22i1.4288","",""
"SLJT-R2-022","Tari Topeng Lengger Wonosobo","Ring 2 - Terverifikasi Teks",2,"Kabupaten Wonosobo","Karesidenan Kedu","Dataran Tinggi Vulkanik Wonosobo",-7.391014,109.952024,"POINT(109.952024 -7.391014)","","",""
"SLJT-R2-023","Tedhak Siten Surakarta","Ring 2 - Terverifikasi Teks",2,"Kota Surakarta","Karesidenan Surakarta","Pusat Kebudayaan Mataram Surakarta",-7.555338,110.821804,"POINT(110.821804 -7.555338)","https://idjpcr.usu.ac.id/lingtersa/article/download/12061/7167","",""
"SLJT-R2-024","Tingalan Jumenengan Dalem Karaton Surakarta","Ring 2 - Terverifikasi Teks",2,"Kota Surakarta","Karesidenan Surakarta","Pusat Karaton Kasunanan Surakarta",-7.591585,110.812276,"POINT(110.812276 -7.591585)","","",""
"SLJT-R2-025","Tingalan Jumenengan Dalem Puro Mangkunegaran","Ring 2 - Terverifikasi Teks",2,"Kota Surakarta","Karesidenan Surakarta","Pusat Puro Mangkunegaran",-7.559646,110.858727,"POINT(110.858727 -7.559646)","","",""
"SLJT-R2-026","Tungguk Tembakau Boyolali","Ring 2 - Terverifikasi Teks",2,"Kabupaten Boyolali","Karesidenan Surakarta","Lereng Merapi-Merbabu & Kawasan Tembakau",-7.50578,110.563957,"POINT(110.563957 -7.50578)","https://jurnal.uns.ac.id/candi/article/view/42435","",""
"SLJT-R2-027","Upacara Adat Apeman Yaqowiyu","Ring 2 - Terverifikasi Teks",2,"Kabupaten Klaten","Karesidenan Surakarta","Dataran Prambanan & Jatinom",-7.718886,110.610725,"POINT(110.610725 -7.718886)","https://doi.org/10.33507/an-nidzam.v12i2.3135","https://doi.org/10.18860/el.v0i0.426",""
"SLJT-R2-028","Upacara Adat Mahesa Lawung","Ring 2 - Terverifikasi Teks",2,"Kota Surakarta","Karesidenan Surakarta","Hutan Krendhawahana & Karaton Surakarta",-7.546548,110.833736,"POINT(110.833736 -7.546548)","https://doi.org/10.17977/um063v4i10p10","https://repositori.kemendikdasmen.go.id/5130/1/Jantra_Vol._8_No._-2_Desember_2013.pdf",""
"SLJT-R2-029","Wahyu Kliyu","Ring 2 - Terverifikasi Teks",2,"Kabupaten Karanganyar","Karesidenan Surakarta","Lereng Barat Gunung Lawu (Jatipuro)",-7.62102,110.923605,"POINT(110.923605 -7.62102)","https://journal.student.uny.ac.id/agora/article/view/14774","https://ejournal.umm.ac.id/index.php/JICC/article/view/19294",""
"SLJT-R2-030","Wayang Kulit Purwa Jawa Tengah","Ring 2 - Terverifikasi Teks",2,"Jawa Tengah (Surakarta, Banyumas, Kedu, Pati)","Lintas Karesidenan","Lembah DAS & Episentrum Wayang",-7.161838,110.183755,"POINT(110.183755 -7.161838)","","",""
"SLJT-R2-031","Wayang Kedu Temanggungan","Ring 2 - Terverifikasi Teks",2,"Kabupaten Temanggung","Karesidenan Kedu","Lereng Gunung Sindoro-Sumbing",-7.262315,110.146929,"POINT(110.146929 -7.262315)","https://jurnal.isbi.ac.id/index.php/panggung/article/download/4282/2401","https://opac.isi.ac.id/index.php?id=56450&keywords=&p=show_detail",""
"SLJT-R2-032","Wayang Othok Obrol (Varian Naskah)","Ring 2 - Terverifikasi Teks",2,"Kabupaten Wonosobo","Karesidenan Kedu","Dataran Tinggi Vulkanik Wonosobo",-7.389602,109.91052,"POINT(109.91052 -7.389602)","","",""
"SLJT-R2-033","Wayang Topeng Dalang Klaten","Ring 2 - Terverifikasi Teks",2,"Kabupaten Klaten","Karesidenan Surakarta","Dataran Prambanan & Pedan",-7.683804,110.633106,"POINT(110.633106 -7.683804)","https://journal.isi.ac.id/index.php/DTR/article/viewFile/3164/1388","https://digilib.isi.ac.id/4055/1/BAB%20I.pdf",""
"SLJT-R2-034","Wayang Topeng Kedung Panjang","Ring 2 - Terverifikasi Teks",2,"Kabupaten Banyumas","Karesidenan Banyumas","Lembah DAS Serayu & Banyumas Barat",-7.450906,109.199805,"POINT(109.199805 -7.450906)","https://doi.org/10.22460/collase.v6i3.17343","",""
"SLJT-R2-035","Legenda Baru Klinthing & Merti Rawa Pening","Ring 2 - Terverifikasi Teks",2,"Kabupaten Semarang","Karesidenan Semarang","Ekologi Waduk, Rawa & Perairan Darat",-7.226097,110.435173,"POINT(110.435173 -7.226097)","","",""
"SLJT-R2-036","Tradisi Kungkum & Mitos Sendang Senjoyo","Ring 2 - Terverifikasi Teks",2,"Kabupaten Semarang & Kota Salatiga","Karesidenan Semarang","Ekologi Sendang & Mata Air Sakral",-7.19,110.42509,"POINT(110.42509 -7.19)","","",""
